source,target
"Insert before person, but after effect.
Setting suited for material expressing feeling or like rain or lens flare.","Вставить перед человеком, но после эффекта.
Настройка, подходящая для материалов, выражающих настроение, например дождь или блик объектива."
"Insert above the background, but below balloons and text. 
Suitable for effect materials such as focus lines.","Вставить над фоном, но под облачками и текстом. 
Подходит для материалов эффектов, например линий фокусировки."
"Insert before foreground, but after balloon or signs.
Setting suited for signs like sweats of characters.","Вставить перед передним планом, но после облачков или знаков.
Настройка, подходящая для знаков вроде капель пота персонажей."
"Insert before foreground, but after balloon or signs.
Setting suited for materials which you do not want to be hidden under balloons or texts.","Вставить перед передним планом, но после облачков или знаков.
Настройка, подходящая для материалов, которые не должны скрываться под облачками или текстом."
"Insert in the foreground of canvas frame.
Settings of material in foreground of image such as
sound effects.","Вставить на передний план рамки холста.
Настройки материала на переднем плане изображения, например
звуковых эффектов."
No adjustment for order of overlapping.,Без настройки порядка наложения.
 , 
Adjust after pasting,Настроить после вставки
Expand in full,Развернуть полностью
Fit to scale,Подогнать по масштабу
Adjust according to destination,Настроить в соответствии с назначением
Fit to text,Подогнать по тексту
Convert to raster layer,Преобразовать в растровый слой
Do not scale,Не масштабировать
(not recommended),(не рекомендуется)
Content,Содержимое
Material Folder,
Toning,Тонирование
Do not clip,Не обрезать
Show all the materials in the folder.,Показать все материалы в папке.
Search for materials on ASSETS,Искать материалы в ASSETS
Show CLIP STUDIO and open [ASSETS],Показать CLIP STUDIO и открыть [ASSETS]
Materials added to your Favorites will appear here.,"Материалы, добавленные в избранное, появятся здесь."
Recently used materials will appear here,
Information,Сведения
Status,Состояние
Frequency,
Editing material information,Редактирование сведений о материале
Uploaded to Assets,Загружено в Assets
Install,Установить
User,Пользователь
New folder,Новая папка
・ All included data will be deleted.,・ Все включённые данные будут удалены.
"・ The data contains unavailable materials that are hidden because the setting [Show materials that cannot be used] is turned off. 
  These materials will be deleted.","・ Данные содержат недоступные материалы, скрытые потому, что параметр [Показать материалы, которые нельзя использовать] выключен. 
  Эти материалы будут удалены."
"A folder with the same name exists in the same hierarchy, so you cannot rename it.","Папка с таким же именем существует на том же уровне иерархии, поэтому её нельзя переименовать."
You cannot move it. A folder with the same name exists in the destination hierarchy.,Её нельзя переместить. Папка с таким же именем существует в целевой иерархии.
"An uneditable folder exists in the folder, so you cannot delete it.","В папке есть нередактируемая папка, поэтому её нельзя удалить."
"An undeletable material exists in the folder, so you cannot delete it.","В папке есть неудаляемый материал, поэтому её нельзя удалить."
This folder contains %d materials.,Эта папка содержит %d материалов.
You cannot use this function to delete folders that contain materials.,"С помощью этой функции нельзя удалять папки, содержащие материалы."
Paste selected material to canvas (register setting material to palette and preset),Вставить выбранный материал на холст (зарегистрировать материал настроек в палитре и наборе настроек)
Replace editing layer with selected material,Заменить редактируемый слой выбранным материалом
Delete selected materials,Удалить выбранные материалы
Show properties window of selected materials,
Add to/Remove from Favorites,Добавить в избранное или удалить из него
Switch between display and hide of tag list,Переключить отображение и скрытие списка тегов
Switch displayed content of material list,Переключить отображаемое содержимое списка материалов
Shows recently used materials,
Show material folders,Показать папки материалов
Show materials in Favorites,Показать материалы в избранном
Material search tag,Тег поиска материалов
Save folder for materials,Папка сохранения материалов
Create a material folder,Создать папку материалов
Delete the selected material folder,Удалить выбранную папку материалов
Change the name of the selected material folder,Изменить имя выбранной папки материалов
Switch show and hide of the item check box,Переключить показ и скрытие флажка элемента
Switch show and hide of detail information of material,Переключить показ и скрытие подробных сведений о материале
Export CSV of material list,Экспортировать CSV списка материалов
Switch thumbnail of the material to detail,Переключить эскиз материала на подробный
Switch thumbnail of the material to large,Переключить эскиз материала на большой
Switch thumbnail of the material to small,Переключить эскиз материала на маленький
Switch thumbnail of the material,Переключить эскиз материала
"Delete the following material files. 
Do you want to proceed?","Удалить следующие файлы материалов. 
Продолжить?"
"Delete these %d material files. 
Do you want to proceed?","Удалить эти файлы материалов (%d). 
Продолжить?"
"”%s” is used in the following brush shape preset. 
Do you want to delete the material?",
Settings of other %d,Настройки прочих %d
"Do you want to delete these materials from your Favorites?
",Удалить эти материалы из избранного?
"Do you want to delete these %d materials from your Favorites?
",Удалить эти материалы (%d) из избранного?
"The following materials could not be deleted.
They may be open in another application.",
"Some materials could not be deleted.
They may be open in another application.",
Searching for tools that use this material...(Cancel to delete without searching),
Importing selected material that is unimported.,"Импорт выбранного материала, который не был импортирован."
"Material database is being used right now, so this command cannot be executed. 
Please wait for a while and try it again.","База данных материалов сейчас используется, поэтому эту команду нельзя выполнить. 
Подождите немного и повторите попытку."
You cannot delete unnamed folders. Please name the folder and try again.,
You cannot delete materials from unnamed folders. Please name the folder and try again.,
Framing template,Шаблон кадрирования
Layer template,Шаблон слоя
3D image,3D-изображение
3D character,3D-персонаж
Old format 3D character,3D-персонаж старого формата
3D Object,3D-объект
Old format 3D object,3D-объект старого формата
3D shape,3D-фигура
3D background,3D-фон
Old format 3D background,3D-фон старого формата
Pose,Поза
Body shape,Форма тела
3D head,3D-голова
3D hand model,
Panorama,Небесная сфера
Paper texture,Текстура бумаги
Brush tip shape,Форма кончика кисти
Image material,Материал изображения
Animation,Анимация
Brush,Кисть
Gradient,Градиент
Tool settings (others),Настройки инструмента (прочее)
Color Set,Набор цветов
Character Motion,Движение персонажа
Camera movement,Движение камеры
Auto Action,Автооперация
Gradient set,Набор градиентов
Workspace,Рабочая среда
Face parts,Части лица
Body parts,Части тела
Hair parts,Части волос
Material catalog,Каталог материалов
Vector,Векторный
Tone,Тон
Fill,Заливка
Ruler,Линейка
Special ruler,Специальная линейка
Perspective ruler,Линейка перспективы
Selection Layer,Слой выделения
3D layer,3D-слой
2D background (Scenery),2D-фон (Пейзаж)
2D background (Feeling),2D-фон (Настроение)
2D foreground (Item),2D-передний план (Предмет)
2D foreground (Feeling),2D-передний план (Настроение)
Sound effect (Font),Звуковой эффект (Шрифт)
Brush shape,Форма кисти
Brush tool,Инструмент кисти
Gradient tool,Инструмент градиента
Other tool,Другой инструмент
Auto action set,Набор автоопераций
Bonus Materials,Бонусные материалы
Extracting materials...,Извлечение материалов...
テンプレート,Шаблон
コマ割りテンプレート,Шаблон кадрирования
コマ,Кадр
キャラクター,Персонаж
ポーズ,Поза
背景,Фон
モーション,Движение
カメラ,Камера
背景(風景),Фон (Пейзаж)
背景(心情),Фон (Настроение)
前景(心情),Передний план (Настроение)
アイテム,Предмет
フキダシ,Выноска
描き文字,Рисованный текст
描き文字(フォント),Рисованный текст (Шрифт)
漫符,Манга-символы
効果,Эффект
その他,Прочее
用紙テクスチャ,Текстура бумаги
素材,Материал
すべての素材,Все материалы
用紙テンプレート,Шаблон бумаги
CLIPマテリアル,Материал CLIP
カラーパターン,Цветной узор
柄,Узор
服柄,Узор одежды
和柄,Японский узор
花柄・植物柄,Цветочный и растительный узор
効果・心情,Эффект и настроение
明・静・柔・喜,"Свет, покой, мягкость и радость"
暗・激・緊・怒,"Тьма, напор, напряжение и гнев"
自然,Природа
人工,Искусственное
テクスチャ,Текстура
単色パターン,Одноцветный узор
基本,Основное
網,Точки
万線,Параллельные линии
砂目,Песчаный узор
グラデーション,Градиент
カケアミ,Перекрёстная штриховка
漫画素材,Материал манги
台詞,Реплика
心情,Настроение
ナレーション,Повествование
効果線,Линии эффекта
集中線,Линии фокусировки
スピード線,Линии скорости
ウニフラ,Вспышка “морского ежа”
ベタフラ,Чёрная вспышка
動き・感覚,Движение и ощущение
衝撃,Удар
声・息,Голос и дыхание
物音・機械音,Шум и звук механизмов
気づき・衝撃,Внимание и удар
動き・感情,Движение и эмоция
汗・涙,Пот и слёзы
煙・息,Дым и дыхание
ケガ,Рана
光,Свет
記号・図形,Знаки и фигуры
アイコン,Значок
画像素材,Материал изображения
イラスト,Иллюстрация
建物,Здание
道具,Инструмент
花・植物,Цветы и растения
効果・演出,Эффект и постановка
装飾,Украшение
写真,Фотография
ブラシ,Кисть
体型,Тип телосложения
頭部,Голова
ハンドモデル,
プリミティブ,Примитив
天球,Небесная сфера
全身,Всё тело
手,Рука
連番ポーズ,Последовательность поз
小物,Мелкий предмет
日用品,Предметы быта
文房具・本,Канцелярия и книги
食品・飲料,Еда и напитки
学校備品,Школьное оборудование
スポーツ,Спорт
家具・インテリア,Мебель и интерьер
家電,Бытовая техника
ファッション,Мода
武器,Оружие
乗り物,Транспорт
学校施設,Школьные сооружения
住居,Жильё
公共施設・道路,Общественные сооружения и дороги
商業施設,Коммерческие сооружения
その他建築物,Прочие постройки
キャラクターパーツ,Части персонажа
フェイス,Лицо
ボディ,Тело
ヘア,Волосы
キャラクターテクスチャ,Текстура персонажа
ダウンロード,Загрузка
IllustStudio素材,Материалы IllustStudio
ComicStudio4.0素材,Материалы ComicStudio4.0
ComicStudio3.0素材,Материалы ComicStudio3.0
トーン素材集,Коллекция тоновых материалов
3Dデータコレクション,Коллекция 3D-данных
トーン,Тон
ごみ箱,Корзина
カラーパターン:柄:服柄,Цветной узор:Узор:Узор одежды
カラーパターン:柄:和柄,Цветной узор:Узор:Японский узор
カラーパターン:柄:花柄・植物柄,Цветной узор:Узор:Цветочный и растительный узор
カラーパターン:柄:その他,Цветной узор:Узор:Прочее
カラーパターン:柄,Цветной узор:Узор
カラーパターン:効果・心情:明・静・柔・喜,"Цветной узор:Эффект и настроение:Свет, покой, мягкость и радость"
カラーパターン:効果・心情:暗・激・緊・怒,"Цветной узор:Эффект и настроение:Тьма, напор, напряжение и гнев"
カラーパターン:効果・心情,Цветной узор:Эффект и настроение
カラーパターン:背景:自然,Цветной узор:Фон:Природа
カラーパターン:背景:人工,Цветной узор:Фон:Искусственное
カラーパターン:背景,Цветной узор:Фон
カラーパターン:テクスチャ,Цветной узор:Текстура
単色パターン:基本:網,Одноцветный узор:Основное:Точки
単色パターン:基本:万線,Одноцветный узор:Основное:Параллельные линии
単色パターン:基本:砂目,Одноцветный узор:Основное:Песчаный узор
単色パターン:基本,Одноцветный узор:Основное
単色パターン:グラデーション:網,Одноцветный узор:Градиент:Точки
単色パターン:グラデーション:万線,Одноцветный узор:Градиент:Параллельные линии
単色パターン:グラデーション:砂目,Одноцветный узор:Градиент:Песчаный узор
単色パターン:グラデーション,Одноцветный узор:Градиент
単色パターン:柄:服柄,Одноцветный узор:Узор:Узор одежды
単色パターン:柄:和柄,Одноцветный узор:Узор:Японский узор
単色パターン:柄:花柄・植物柄,Одноцветный узор:Узор:Цветочный и растительный узор
単色パターン:柄:その他,Одноцветный узор:Узор:Прочее
単色パターン:柄,Одноцветный узор:Узор
単色パターン:効果・心情:明・静・柔・喜,"Одноцветный узор:Эффект и настроение:Свет, покой, мягкость и радость"
単色パターン:効果・心情:暗・激・緊・怒,"Одноцветный узор:Эффект и настроение:Тьма, напор, напряжение и гнев"
単色パターン:効果・心情,Одноцветный узор:Эффект и настроение
単色パターン:背景:自然,Одноцветный узор:Фон:Природа
単色パターン:背景:人工,Одноцветный узор:Фон:Искусственное
単色パターン:背景,Одноцветный узор:Фон
単色パターン:カケアミ,Одноцветный узор:Перекрёстная штриховка
単色パターン:テクスチャ,Одноцветный узор:Текстура
漫画素材:フキダシ:台詞,Материал манги:Выноска:Реплика
漫画素材:フキダシ:心情,Материал манги:Выноска:Настроение
漫画素材:フキダシ:ナレーション,Материал манги:Выноска:Повествование
漫画素材:フキダシ,Материал манги:Выноска
漫画素材:効果線:集中線,Материал манги:Линии эффекта:Линии фокусировки
漫画素材:効果線:スピード線,Материал манги:Линии эффекта:Линии скорости
漫画素材:効果線:ウニフラ,Материал манги:Линии эффекта:Вспышка “морского ежа”
漫画素材:効果線:ベタフラ,Материал манги:Линии эффекта:Чёрная вспышка
漫画素材:効果線,Материал манги:Линии эффекта
漫画素材:描き文字:動き・感覚,Материал манги:Рисованный текст:Движение и ощущение
漫画素材:描き文字:衝撃,Материал манги:Рисованный текст:Удар
漫画素材:描き文字:声・息,Материал манги:Рисованный текст:Голос и дыхание
漫画素材:描き文字:心情,Материал манги:Рисованный текст:Настроение
漫画素材:描き文字:物音・機械音,Материал манги:Рисованный текст:Шум и звук механизмов
漫画素材:描き文字,Материал манги:Рисованный текст
漫画素材:漫符:気づき・衝撃,Материал манги:Манга-символы:Внимание и удар
漫画素材:漫符:動き・感情,Материал манги:Манга-символы:Движение и эмоция
漫画素材:漫符:汗・涙,Материал манги:Манга-символы:Пот и слёзы
漫画素材:漫符:煙・息,Материал манги:Манга-символы:Дым и дыхание
漫画素材:漫符:ケガ,Материал манги:Манга-символы:Рана
漫画素材:漫符:光,Материал манги:Манга-символы:Свет
漫画素材:漫符:記号・図形,Материал манги:Манга-символы:Знаки и фигуры
漫画素材:漫符:アイコン,Материал манги:Манга-символы:Значок
漫画素材:漫符:その他,Материал манги:Манга-символы:Прочее
漫画素材:漫符,Материал манги:Манга-символы
漫画素材:コマ割りテンプレート,Материал манги:Шаблон кадрирования
画像素材:イラスト:建物,Материал изображения:Иллюстрация:Здание
画像素材:イラスト:道具,Материал изображения:Иллюстрация:Инструмент
画像素材:イラスト:花・植物,Материал изображения:Иллюстрация:Цветы и растения
画像素材:イラスト:自然,Материал изображения:Иллюстрация:Природа
画像素材:イラスト:効果・演出,Материал изображения:Иллюстрация:Эффект и постановка
画像素材:イラスト:装飾,Материал изображения:Иллюстрация:Украшение
画像素材:イラスト,Материал изображения:Иллюстрация
画像素材:写真,Материал изображения:Фотография
画像素材:ブラシ,Материал изображения:Кисть
3D:ポーズ:全身,3D:Поза:Всё тело
3D:ポーズ:手,3D:Поза:Рука
3D:ポーズ,3D:Поза
3D:小物:日用品,3D:Мелкий предмет:Предметы быта
3D:小物:文房具・本,3D:Мелкий предмет:Канцелярия и книги
3D:小物:食品・飲料,3D:Мелкий предмет:Еда и напитки
3D:小物:学校備品,3D:Мелкий предмет:Школьное оборудование
3D:小物:スポーツ,3D:Мелкий предмет:Спорт
3D:小物:家具・インテリア,3D:Мелкий предмет:Мебель и интерьер
3D:小物:家電,3D:Мелкий предмет:Бытовая техника
3D:小物:ファッション,3D:Мелкий предмет:Мода
3D:小物:道具,3D:Мелкий предмет:Инструмент
3D:小物:武器,3D:Мелкий предмет:Оружие
3D:小物:乗り物,3D:Мелкий предмет:Транспорт
3D:小物,3D:Мелкий предмет
3D:背景:学校施設,3D:Фон:Школьные сооружения
3D:背景:住居,3D:Фон:Жильё
3D:背景:乗り物,3D:Фон:Транспорт
3D:背景:公共施設・道路,3D:Фон:Общественные сооружения и дороги
3D:背景:商業施設,3D:Фон:Коммерческие сооружения
3D:背景:その他建築物,3D:Фон:Прочие постройки
3D:背景,3D:Фон
3D:モーション:キャラクター,3D:Движение:Персонаж
3D:モーション:カメラ,3D:Движение:Камера
3D:モーション,3D:Движение
3D:キャラクターパーツ:フェイス,3D:Части персонажа:Лицо
3D:キャラクターパーツ:ボディ,3D:Части персонажа:Тело
3D:キャラクターパーツ:ヘア,3D:Части персонажа:Волосы
3D:キャラクターパーツ,3D:Части персонажа
3D:キャラクターテクスチャ:フェイス,3D:Текстура персонажа:Лицо
3D:キャラクターテクスチャ,3D:Текстура персонажа
3D:キャラクター,3D:Персонаж
3D:体型,3D:Тип телосложения
ダウンロード:素材,Загрузка:Материал
3D:頭部,3D:Голова
3D:ハンドモデル,
3D:プリミティブ,
3D:天球,
3D:ポーズ:連番ポーズ,
最近使用した素材,
Background (Scenery),Фон (Пейзаж)
Background (Feeling),Фон (Настроение)
Foreground (Feeling),Передний план (Настроение)
Sound effects lettering,Рисованный текст
Sound effects lettering (Font),Рисованный текст (Шрифт)
All materials,Все материалы
Paper template,Шаблон бумаги
CLIP material,Материал CLIP
Color pattern,Цветной узор
Clothes pattern,Узор одежды
Japanese pattern,Японский узор
Flower and plant pattern,Цветочный и растительный узор
Effect and feeling,Эффект и настроение
"Bright, Quiet, Soft and Delight","Свет, покой, мягкость и радость"
"Dark, Loud, Tense and Anger","Тьма, напор, напряжение и гнев"
Monochromatic pattern,Одноцветный узор
Parallel line,Параллельные линии
Sand pattern,Песчаный узор
Manga material,Материал манги
Saturated line,Линии фокусировки
Speed line,Линии скорости
Sea urchin flash,Вспышка “морского ежа”
Beta flash,Чёрная вспышка
Movement and feeling,Движение и эмоция
Voice and breath,Голос и дыхание
Noise and machine sound,Шум и звук механизмов
Notice and impact,Внимание и удар
Sweat and tear,Пот и слёзы
Smoke and breath,Дым и дыхание
Code and figure,Знаки и фигуры
Flower and plant,Цветы и растения
Effect and stage direction,Эффект и постановка
Body type,Тип телосложения
Hand model,Модель руки
Entire body,Всё тело
Pose sequence,Последовательность поз
Small object,Мелкий предмет
Stationery and book,Канцелярия и книги
Food and beverage,Еда и напитки
School supply,Школьное оборудование
Furniture and interior,Мебель и интерьер
Home electronics,Бытовая техника
School facility,Школьные сооружения
Community facility and road,Общественные сооружения и дороги
Commercial facility,Коммерческие сооружения
Other building,Прочие постройки
Character parts,Части персонажа
Character Texture,Текстура персонажа
IllustStudio material,Материалы IllustStudio
ComicStudio4.0 material,Материалы ComicStudio4.0
ComicStudio3.0 material,Материалы ComicStudio3.0
Tone material collection,Коллекция тоновых материалов
3D data collection,Коллекция 3D-данных
Trash box,Корзина
Color pattern:Pattern:Clothes pattern,Цветной узор:Узор:Узор одежды
Color pattern:Pattern:Japanese pattern,Цветной узор:Узор:Японский узор
Color pattern:Pattern:Flower and plant pattern,Цветной узор:Узор:Цветочный и растительный узор
Color pattern:Pattern:Other,Цветной узор:Узор:Прочее
Color pattern:Pattern,Цветной узор:Узор
"Color pattern:Effect and feeling:Bright, Quiet, Soft and Delight","Цветной узор:Эффект и настроение:Свет, покой, мягкость и радость"
"Color pattern:Effect and feeling:Dark, Loud, Tense and Anger","Цветной узор:Эффект и настроение:Тьма, напор, напряжение и гнев"
Color pattern:Effect and feeling,Цветной узор:Эффект и настроение
Color pattern:Background:Nature,Цветной узор:Фон:Природа
Color pattern:Background:Artificial,Цветной узор:Фон:Искусственное
Color pattern:Background,Цветной узор:Фон
Color pattern:Texture,Цветной узор:Текстура
Monochromatic pattern:Basic:Dot,Одноцветный узор:Основное:Точки
Monochromatic pattern:Basic:Parallel line,Одноцветный узор:Основное:Параллельные линии
Monochromatic pattern:Basic:Sand pattern,Одноцветный узор:Основное:Песчаный узор
Monochromatic pattern:Basic,Одноцветный узор:Основное
Monochromatic pattern:Gradient:Dot,Одноцветный узор:Градиент:Точки
Monochromatic pattern:Gradient:Parallel line,Одноцветный узор:Градиент:Параллельные линии
Monochromatic pattern:Gradient:Sand pattern,Одноцветный узор:Градиент:Песчаный узор
Monochromatic pattern:Gradient,Одноцветный узор:Градиент
Monochromatic pattern:Pattern:Clothes pattern,Одноцветный узор:Узор:Узор одежды
Monochromatic pattern:Pattern:Japanese pattern,Одноцветный узор:Узор:Японский узор
Monochromatic pattern:Pattern:Flower and plant pattern,Одноцветный узор:Узор:Цветочный и растительный узор
Monochromatic pattern:Pattern:Other,Одноцветный узор:Узор:Прочее
Monochromatic pattern:Pattern,Одноцветный узор:Узор
"Monochromatic pattern:Effect and feeling:Bright, Quiet, Soft and Delight","Одноцветный узор:Эффект и настроение:Свет, покой, мягкость и радость"
"Monochromatic pattern:Effect and feeling:Dark, Loud, Tense and Anger","Одноцветный узор:Эффект и настроение:Тьма, напор, напряжение и гнев"
Monochromatic pattern:Effect and feeling,Одноцветный узор:Эффект и настроение
Monochromatic pattern:Background:Nature,Одноцветный узор:Фон:Природа
Monochromatic pattern:Background:Artificial,Одноцветный узор:Фон:Искусственное
Monochromatic pattern:Background,Одноцветный узор:Фон
Monochromatic pattern:Cross-hatching,Одноцветный узор:Перекрёстная штриховка
Monochromatic pattern:Texture,Одноцветный узор:Текстура
Manga material:Balloon:Dialog,Материал манги:Выноска:Реплика
Manga material:Balloon:Feeling,Материал манги:Выноска:Настроение
Manga material:Balloon:Narration,Материал манги:Выноска:Повествование
Manga material:Balloon,Материал манги:Выноска
Manga material:Effect line:Saturated line,Материал манги:Линии эффекта:Линии фокусировки
Manga material:Effect line:Speed line,Материал манги:Линии эффекта:Линии скорости
Manga material:Effect line:Sea urchin flash,Материал манги:Линии эффекта:Вспышка “морского ежа”
Manga material:Effect line:Beta flash,Материал манги:Линии эффекта:Чёрная вспышка
Manga material:Effect line,Материал манги:Линии эффекта
Manga material:Sound effect:Movement and feeling,Материал манги:Рисованный текст:Движение и ощущение
Manga material:Sound effect:Impact,Материал манги:Рисованный текст:Удар
Manga material:Sound effect:Voice and breath,Материал манги:Рисованный текст:Голос и дыхание
Manga material:Sound effect:Sentiment,Материал манги:Рисованный текст:Настроение
Manga material:Sound effect:Noise and machine sound,Материал манги:Рисованный текст:Шум и звук механизмов
Manga material:Sound effect,Материал манги:Рисованный текст
Manga material:Sign:Notice and impact,Материал манги:Манга-символы:Внимание и удар
Manga material:Sign:Movement and feeling,Материал манги:Манга-символы:Движение и эмоция
Manga material:Sign:Sweat and tear,Материал манги:Манга-символы:Пот и слёзы
Manga material:Sign:Smoke and breath,Материал манги:Манга-символы:Дым и дыхание
Manga material:Sign:Wound,Материал манги:Манга-символы:Рана
Manga material:Sign:Light,Материал манги:Манга-символы:Свет
Manga material:Sign:Code and figure,Материал манги:Манга-символы:Знаки и фигуры
Manga material:Sign:Icon,Материал манги:Манга-символы:Значок
Manga material:Sign:Other,Материал манги:Манга-символы:Прочее
Manga material:Sign,Материал манги:Манга-символы
Manga material:Framing template,Материал манги:Шаблон кадрирования
Image material:Illustration:Building,Материал изображения:Иллюстрация:Здание
Image material:Illustration:Tool,Материал изображения:Иллюстрация:Инструмент
Image material:Illustration:Flower and plant,Материал изображения:Иллюстрация:Цветы и растения
Image material:Illustration:Nature,Материал изображения:Иллюстрация:Природа
Image material:Illustration:Effect and stage direction,Материал изображения:Иллюстрация:Эффект и постановка
Image material:Illustration:Decoration,Материал изображения:Иллюстрация:Украшение
Image material:Illustration,Материал изображения:Иллюстрация
Image material:Picture,Материал изображения:Фотография
Image material:Brush,Материал изображения:Кисть
3D:Pose:Entire body,3D:Поза:Всё тело
3D:Small object:Commodity,3D:Мелкий предмет:Предметы быта
3D:Small object:Stationery and book,3D:Мелкий предмет:Канцелярия и книги
3D:Small object:Food and beverage,3D:Мелкий предмет:Еда и напитки
3D:Small object:School supply,3D:Мелкий предмет:Школьное оборудование
3D:Small object:Sport,3D:Мелкий предмет:Спорт
3D:Small object:Furniture and interior,3D:Мелкий предмет:Мебель и интерьер
3D:Small object:Home electronics,3D:Мелкий предмет:Бытовая техника
3D:Small object:Fashion,3D:Мелкий предмет:Мода
3D:Small object:Tool,3D:Мелкий предмет:Инструмент
3D:Small object:Weapon,3D:Мелкий предмет:Оружие
3D:Small object:Vehicle,3D:Мелкий предмет:Транспорт
3D:Small object,3D:Мелкий предмет
3D:Background:School facility,3D:Фон:Школьные сооружения
3D:Background:Community facility and road,3D:Фон:Общественные сооружения и дороги
3D:Background:Commercial facility,3D:Фон:Коммерческие сооружения
3D:Background:Other building,3D:Фон:Прочие постройки
3D:Character parts:Face,3D:Части персонажа:Лицо
3D:Character parts:Body,3D:Части персонажа:Тело
3D:Character parts:Hair,3D:Части персонажа:Волосы
3D:Character parts,3D:Части персонажа
3D:Character Texture:Face,3D:Текстура персонажа:Лицо
