source,target
Exclude fill layers,Исключить слои заливки
Pick color from layer,Брать цвет со слоя
Pick displayed color,Брать отображаемый цвет
Move,Переместить
Touch,Касание
Select the touch operation to be enabled,Выберите включаемую сенсорную операцию
Move with two fingers,Перемещение двумя пальцами
Scale up/down with two fingers,Увеличение/уменьшение двумя пальцами
Rotate with two fingers,Поворот двумя пальцами
Click to set center of rotation,Щёлкните
 , 
This item cannot be used in your OS,Этот элемент нельзя использовать в вашей ОС
Drag,Перетаскивание
Select the drag operation,Выберите операцию перетаскивания
Rotate,Повернуть
Click,Щёлкните
Select the click operation,Выберите операцию щелчка
Move center,Переместить центр
Light table operation,Операция светового стола
Importing [%s],Импорт [%s]
Rendering image,Рендеринг изображения
Choose the type of liquify effect to be applied to the canvas.,Выберите тип эффекта пластики
Push,Толчок
Expand,Расширить
Pinch,Сжатие
Push Left,Сдвиг влево
Push Right,Сдвиг вправо
Twirl Clockwise,Закручивание по часовой стрелке
Twirl Anti-Clockwise,Закручивание против часовой стрелки
Strength,Сила
Adjust the range of the liquify effect,Настройте диапазон эффекта пластики
"When the value is low, the effect is focused on the center point",При малом значении эффект сосредоточен в центральной точке
Makes the results smoother and avoids pixelation,Делает результат более плавным и предотвращает пикселизацию
Only refer to editing area,Учитывать только редактируемую область
Uses a more accurate calculation method to determine reference points,Использует более точный метод расчёта для определения опорных точек
Object,Объект
Operation of transparent part,Операция с прозрачной частью
Select operation when clicking or dragging blank space,Выберите операцию при щелчке или перетаскивании в пустом пространстве
Selectable object,Выбираемый объект
Select type of object which can be switched by clicking,Выберите тип объекта
Always show frame,Всегда показывать рамку
Shows frame when layer is selected,Показывает рамку при выборе слоя
Select folders,Выбрать папки
Select folders that contain selected layers,Выбрать папки
Selection mode,Режим выделения
Select behavior when operating selection while there is already selected one,Выберите поведение при работе с выделением
New selection,Новое выделение
Add to selection,Добавить к выделению
Remove from selection,Убрать из выделения
Toggle selection,Переключить выделение
"When moving an object or handle, snap position to other handles and images materials",При перемещении объекта или маркера привязывать положение к другим маркерам и материалам изображений
Snap to other frame borders,Привязка к другим границам рамки
"When moving frame borders or control points, snap to other frame borders at a fixed distance.",При перемещении границ рамки или контрольных точек привязывать к другим границам рамки на фиксированном расстоянии.
Keep gutters aligned,Сохранять выравнивание промежутков
"When moving a control point or gutter, connected control points and gutters move in alignment",При перемещении контрольной точки или промежутка соединённые контрольные точки и промежутки перемещаются согласованно
Horizontal & adjacent,Горизонтально и рядом
Snap to 3D models,Привязка к 3D-моделям
"When moving a 3D model with the manipulator, it will snap to match other 3D models",При перемещении 3D-модели манипулятором она будет привязываться к другим 3D-моделям
Snapping,Привязка
Set snapping for 3D models,Задать привязку для 3D-моделей
Rotation step,Шаг поворота
Set the unit for rotating the 3D model with the manipulator.,Задайте единицу поворота 3D-модели манипулятором.
%s degrees,%s градусов
Pivot point for multiple objects,Точка опоры для нескольких объектов
Local pivot points,Локальные точки опоры
Midpoint of multiple objects,Средняя точка нескольких объектов
First selected object,Первый выбранный объект
Set the pivot point when manipulating multiple 3D models with the manipulator,Задать точку опоры при работе с несколькими 3D-моделями манипулятором
Movement axis,Ось перемещения
Rotation axis,Ось поворота
Object axis,Ось объекта
Ground axis,Ось земли
"When moving a 3D model with the manipulator, it will snap to the reference axis.",При перемещении 3D-модели манипулятором она будет привязываться к опорной оси.
"When rotating a 3D model with the manipulator, it will snap to the reference axis.",При повороте 3D-модели манипулятором она будет привязываться к опорной оси.
On-screen manipulator,Экранный манипулятор
Select which parts of the root manipulator to display,Выберите
Move/rotate/scale,Перемещение/поворот/масштаб
Scale,Масштабировать
Preparing transformation...,Подготовка трансформации...
Multiple layers,Несколько слоёв
Apply transformation?,Применить трансформацию?
"You cannot add a new pin as there is already a pin in this area.
Please delete the existing pin or adjust the mesh density.","Вы не можете добавить новую булавку, так как в этой области уже есть булавка.
Удалите существующую булавку или отрегулируйте плотность сетки."
"You cannot add a new pin as there is already a pin in this area.
Please delete the existing pin to place a pin here.","Вы не можете добавить новую булавку, так как в этой области уже есть булавка.
Удалите существующий значок, чтобы разместить его здесь."
Edit 3D small object,Редактировать малый 3D-объект
Edit moveable 3D item,Редактировать подвижный 3D-элемент
Edit 3D character,Редактировать 3D-персонажа
Edit 3D background,Редактировать 3D-фон
Edit 3D drawing figure,Редактировать 3D-фигуру для рисования
Edit 3D head model,Редактировать 3D-модель головы
Edit 3D hand model,
Edit 3D space,Редактировать 3D-пространство
Edit 3D object,Редактировать 3D-объект
Edit 3D camera,Редактировать 3D-камеру
Edit 3D ambient light,Редактировать 3D-окружающий свет
Edit 3D directional light,Редактировать 3D-направленный источник света
Edit 3D Primitive,Редактировать 3D-примитив
Edit 3D panorama,Редактировать 3D-панораму
Edit 3D folder,Редактировать 3D-папку
Change 3D camera focal point,Изменить фокусную точку 3D-камеры
Edit text,Редактировать текст
Enter text,Ввести текст
Edit vector,Редактировать вектор
Edit frame border,Редактировать границу рамки
Edit balloon,Редактировать выноску
Edit ruler,Редактировать линейку
Edit special ruler,Редактировать специальную линейку
Edit perspective ruler,Редактировать линейку перспективы
Edit image material,Редактировать материал изображения
Edit gradient,Редактировать градиент
Edit monochrome fill,Редактировать монохромную заливку
Edit focus lines,Редактировать концентрированные линии
Edit speed lines,Редактировать линии скорости
Move image,Переместить изображение
Transform image,Трансформировать изображение
Move center of rotation,Переместить центр поворота
Move reference point,Переместить опорную точку
Rotate image,Повернуть изображение
Reverse image horizontally,Отразить изображение по горизонтали
Reverse image vertically,Отразить изображение по вертикали
Reset image transformation,Сбросить трансформацию изображения
Change interpolation method,Изменить метод интерполяции
Change vector thickness settings,Изменить настройки толщины вектора
Change number of points in horizontal mesh for image,Изменить количество точек горизонтальной сетки изображения
Change number of vertical grid points on image,Изменить количество вертикальных точек сетки на изображении
Adjust/change image position,Настроить/изменить положение изображения
Change to keep the original image,Изменить
Rotate image by 90 degrees clockwise,Повернуть изображение на 90 градусов по часовой стрелке
Rotate image by 90 degrees counterclockwise,Повернуть изображение на 90 градусов против часовой стрелки
Change selection status of grid points,Изменить состояние выделения точек сетки
Add pin,Добавить булавку
Delete pin,Удалить булавку
Move pin,Переместить булавку
Add pin and move,Добавить булавку и переместить
Rotate pin,Повернуть булавку
Change mesh density,Изменить плотность сетки
Adjust expansion area,Настроить область расширения
Change selection status of pins,Изменить состояние выделения булавок
Set whether to turn on pin rotation correction,Задать
Bring pin to front,Переместить булавку на передний план
Bring pin forward,Переместить булавку вперёд
Send pin backward,Переместить булавку назад
Send pin to back,Переместить булавку на задний план
Rotate guide lines,Повернуть направляющие линии
Edit 2D camera,Редактировать 2D-камеру
Add text,Добавить текст
Resource editor,Редактор ресурсов
About parameter help,О справке по параметрам
Adjust stabilization by speed,Настроить стабилизацию по скорости
Apply to each plot,Применять к каждой точке
Scale ratio/Rotation angle,Коэффициент масштаба/Угол поворота
Brightness/Contrast,Яркость/контраст
Index when using unique tool cursor,
Strength of randomized direction,Сила случайного направления
Flip Horizontal/Flip Vertical,Отразить по горизонтали/Отразить по вертикали
Use watercolor effect,Использовать акварельный эффект
Change,Изменить
Link to brush size,Связать с размером кисти
Use fixed spray point,Использовать фиксированную точку распыления
Starting and Ending,Начало и конец
Starting and Ending by speed,Начало и конец по скорости
Snap angle,Угол привязки
Reset with double-click,Сброс двойным щелчком
Interlock selection and image,Связать выделение и изображение
Magnetic lasso,Магнитное лассо
Snap to vector paths,Привязка к векторным контурам
Magnet settings,Настройки магнита
Lasso selection mode,Режим выделения лассо
Line/Fill,Линия/заливка
Line color/Fill color,Цвет линии/Цвет заливки
Adjust angle after fixed,Настроить угол после фиксации
Start from center,Начать от центра
Figure,Фигура
Number of corners,Число углов
Roundness of corner,Скругление угла
Aspect type,Тип соотношения сторон
Curve,Кривая
Close line,Замкнуть линию
Show line preview,Показывать просмотр линии
Add/delete control points while drawing,Добавлять/удалять контрольные точки при рисовании
Layer not to select,"Слой, не подлежащий выбору"
Select Folders,Выбрать папки
Change thickness while scaling,Изменять толщину при масштабировании
Number of grid points,Число точек сетки
Select grid points (tap),Выбрать точки сетки (касание)
Select grid points (drag),Выбрать точки сетки (перетаскивание)
Drag mode,Режим перетаскивания
Mesh density,Плотность сетки
Expansion,Расширение
Show mesh,Показывать сетку
Click pin,Щелчок по булавке
Select pins (tap),Выбрать булавки (касание)
Select pins (drag),Выбрать булавки (перетаскивание)
Correct pin rotation,Корректировать поворот булавки
Raster Layer,Растровый слой
Tone,Tone
Combine with text in drawing area,Объединить с текстом в области рисования
Make curves,Создать кривые
Destination Layer,Целевой слой
Style,Стиль
Horizontal ratio,Соотношение по горизонтали
Vertical ratio,Соотношение по вертикали
Text direction,Направление текста
Use half-width punctuation marks,Использовать знаки препинания половинной ширины
Wrap text at frame,Переносить текст по рамке
Justify,По ширине
Position in frame,Положение в рамке
Edge,Край
Edge color,Цвет края
Background color,Цвет фона
Text color,Цвет текста
Alignment,Выравнивание
Line space,Межстрочный интервал
Auto TateChuYoko (Horizontal in Vertical),Авто TateChuYoko (горизонтально в вертикальном)
TateChuYoko (Horizontal in Vertical),TateChuYoko (горизонтально в вертикальном)
Reading size,Размер чтения
Reading font,Шрифт чтения
Reading position,Положение чтения
Adjust reading,Настроить чтение
Space between reading and main text,Интервал между чтением и основным текстом
Reading space,Интервал чтения
Character spacing,Межсимвольный интервал
Reading settings,Настройки чтения
Kerning,Кернинг
Condense text,Сжать текст
OpenType features,Возможности OpenType
Show resize handle,Показывать маркер изменения размера
Display quality while editing,Качество отображения при редактировании
Skew (horizontal),Наклон (горизонтальный)
Skew (vertical),Наклон (вертикальный)
Keep aspect ratio,Сохранять соотношение сторон
Apply to,Применить к
Radius,Радиус
Space evenly,Распределить равномерно
Version,Версия
Process whole line,Обрабатывать всю линию
Snap to symmetry ruler,Привязка к линейке симметрии
Process,Способ обработки
Simplify,Упростить
Smooth corner,Сгладить угол
Convert curve,Преобразовать кривую
Connect lines,Соединить линии
Connect lines in different attribute,Соединять линии с разными атрибутами
Delete short lines,Удалить короткие линии
Fix end,Зафиксировать конец
Pinch level,Уровень сжатия
Effect range,Диапазон эффекта
Add control point,Добавить контрольную точку
Add control point and correct,Добавить контрольную точку и скорректировать
Smoothening range,Диапазон сглаживания
Create on editing layer,Создавать на редактируемом слое
Special ruler,Специальная линейка
Change perspective type,Изменить тип перспективы
Add fisheye,Добавить «рыбий глаз»
Number of lines,Число линий
Line symmetry,Линейная симметрия
Snap lines to selected frame borders,Привязывать линии к выбранным границам рамки
Hide overlapping frame borders,Скрывать перекрывающиеся границы рамки
Line color,Цвет линии
Fill color,Цвет заливки
Tiling,Замощение
Reset/Reverse,Сброс/Инверсия
Interpolation method,Метод интерполяции
Change vector width,Изменить толщину вектора
Rotation center,Центр вращения
Reference point,Опорная точка
Rotate bounding box,Вращать ограничивающую рамку
Position,Положение
Position unit,Единица положения
Adjust position,Настроить положение
Order,Порядок
Transform,Трансформировать
Transform mask,Трансформировать маску
Center of rotation,Центр вращения
"Top left, Top right, Bottom left, and Bottom right","Сверху слева, сверху справа, снизу слева и снизу справа"
Layer opacity,Непрозрачность слоя
Camera angle,Угол камеры
Perspective,Перспектива
Link camera advancing/retreating,Связать приближение/удаление камеры
Projection Method,Метод проекции
Projection Scale,Масштаб проекции
Camera role,Роль камеры
Camera position,Положение камеры
Focal point position,Положение точки фокуса
Adapt view to object,Подогнать вид под объект
Duplicate current camera,Дублировать текущую камеру
Current camera,Текущая камера
Center object,Центрировать объект
Vertical perspective,Вертикальная перспектива
Straighten,Выпрямить
Reset adjustment,Сбросить настройку
Lens settings,Настройки объектива
Lens shift,Сдвиг объектива
Light Source,Источник света
Camera list,Список камер
Attachment point,Точка крепления
Object scale,Масштаб объекта
Whole rotation,Поворот целиком
Ground,Земля
Tool,Tool
Manipulator,Манипулятор
Fast view,Быстрый просмотр
Grid,Сетка
Rendering settings,Настройки рендеринга
Physics simulation,Симуляция физики
Physical settings,Физические настройки
Display settings for editing,Настройки отображения для редактирования
Shadow resolution,Разрешение тени
Partial rotation,Частичный поворот
Pose,Pose
Hand pose,Поза руки
Joint angle limit,Предел угла сустава
Lock joint,Зафиксировать сустав
Change model,Изменить модель
Initial pose,Начальная поза
Register material,Зарегистрировать материал
Mirror pose,Отзеркалить позу
Straighten pose,Выпрямить позу
Hand Scanner,Сканер руки
Hand setup,Настройка руки
Pose sequence,Pose sequence
Pose number,Номер позы
Register pose sequence as material,Зарегистрировать последовательность поз как материал
Lock position,Зафиксировать положение
Expression settings,Настройки выражения
Sex,Пол
Initial body shape/Register material,Начальная форма тела/Зарегистрировать материал
Change body shape,Изменить форму тела
Head to body ratio,Соотношение головы и тела
Adjust head to body ratio with height,Настроить соотношение головы и тела по высоте
Show 3D model hand,
Face Mixer,Микшер лица
Facial features,Черты лица
Register shape as material,
Initial pose / Register material,
Flip left/right,
Hand mixer,
Adjust parts,
Show hand details,
Manga perspective,Перспектива манги
Collision Correction,Коррекция столкновений
Ambient light,Рассеянный свет
Directional light,Направленный свет
Posterization of light source,Постеризация источника света
Apply light source,Применить источник света
Cast shadows,Отбрасывать тени
Shadows,Тени
Enable fog,Включить туман
Fog type,Тип тумана
Auto adjust start position and depth,Автоматически настраивать начальное положение и глубину
Start position,Начальное положение
Depth,Глубина
General primitive,Общий примитив
Number of divisions,Число делений
Follow camera,Следовать за камерой
Show wireframe,Показывать каркас
Alpha,Альфа
Panorama,Panorama
Fisheye perspective,Перспектива «рыбий глаз»
Export as panorama image,Экспортировать как панорамное изображение
UV Map,UV-карта
Right drag,Перетаскивание правой кнопкой
Middle-click + drag,Щелчок средней кнопкой + перетаскивание
Mouse wheel,Колесо мыши
Enable touch gestures,Включить сенсорные жесты
Adjust camera with touch gestures,Управлять камерой сенсорными жестами
Character,Character
Hair,Hair
Face,Face
Body,Body
Accessories,Аксессуары
Layout,Макет
Morph expression,Морфировать выражение
Batch export textures,
Snap lines to selected rulers,Привязывать линии к выбранным линейкам
Center,Центр
Fix eye level,Зафиксировать линию горизонта
Horizontalize eye level,Выровнять линию горизонта по горизонтали
Only snap to vanishing points with a guide line,Привязывать только к точкам схода с направляющей линией
Distortion strength,Сила искажения
Field of view,Поле зрения
Auto action settings,Настройки автооперации
Fill settings,Настройки заливки
Select how to fill from gradient and monochrome fill.,Выберите способ заливки: градиентом или одноцветной заливкой.
Shape: Size,Форма: размер
Set width of gradient.,Задайте ширину градиента.
Shape: Angle,Форма: угол
Set angle of gradient.  It can be used for straight line or ellipse.,Задайте угол градиента. Применимо для прямой линии или эллипса.
Shape: Thickness,Форма: толщина
Set thickness of ellipse when shape of gradient is ellipse.,"Задайте толщину эллипса, когда форма градиента — эллипс."
Set method of operating black line drawn in the layer for painting.,"Задайте способ обработки чёрной линии, нарисованной на слое для закраски."
"When painting in an area filled with one color, set an operation for a transparent part around it. If referring to another layer, even a part where a line is drawn in another layer will be regarded as transparency if there is no drawing in a layer for paint.","При закраске области, залитой одним цветом, задайте обработку прозрачной части вокруг неё. При обращении к другому слою даже часть, где линия нарисована на другом слое, будет считаться прозрачной, если на слое для закраски нет рисунка."
Output settings,Настройки вывода
[Output Settings] is displayed and you can set output settings for gradient.,"Отображается [Настройки вывода], где можно задать настройки вывода для градиента."
Choose whether to move to the next frame or the previous frame when clicking.,"Выберите, переходить ли при щелчке к следующему или к предыдущему кадру."
Choose whether to move to the surrounding frames when dragging left or right.,"Выберите, переходить ли к соседним кадрам при перетаскивании влево или вправо."
Recognize overflow frame as border line.,Распознавать выходящую за рамку линию как граничную линию.
The specified color will not be filled even if clicked.,Указанный цвет не будет залит даже при щелчке.
"Perimeter lines drawn in a specified color are included when filling.
Click the buttons to specify the color. The three color specification buttons besides red, blue and green can be used to change the color by clicking the center of the button.
Turn off anti-aliasing for perimeter lines when using the function to include perimeter lines when filling, as this operation cannot be performed properly if anti-aliasing is used for the perimeter lines.","Линии периметра, нарисованные указанным цветом, включаются при заливке.
Нажимайте кнопки, чтобы указать цвет. Три кнопки определения цвета, помимо красного, синего и зеленого, можно использовать для изменения цвета, щелкнув центр кнопки.
Отключите сглаживание для линий периметра при использовании функции включения линий периметра при заливке, так как эту операцию невозможно выполнить правильно, если для линий периметра используется сглаживание."
Description of each item is shown if you move cursor over it.,Описание каждого элемента отображается при наведении на него курсора.
Tapping the label of the parameter displays the description of that item.,Касание метки параметра отображает описание этого элемента.
Set opacity of drawing.,Задайте непрозрачность рисунка.
Anti-aliasing reduces jaggies and makes a smoother outline.,Сглаживание уменьшает зубчатость и делает контур более плавным.
Choose how colors interact with other colors painted on the same layer.,"Выберите, как цвета взаимодействуют с другими цветами, нанесёнными на тот же слой."
"Adjust the stabilization of the tablet input.
The line gets smoothed more the larger the value is. When the value is smaller, the line is drawn according to the input. ","Отрегулируйте стабилизацию входа планшета.
Линия сглаживается тем сильнее, чем больше значение. Когда значение меньше, линия рисуется в соответствии с введенными данными."
"When this is on, the stabilization level adjusts depending on the speed of the pen. 
The option [Increase stabilization when drawing slowly] only comes into effect when using a low stabilization value.","Когда этот параметр включен, уровень стабилизации регулируется в зависимости от скорости пера. 
Опция [Увеличить стабилизацию при медленном рисовании] вступает в силу только при использовании низкого значения стабилизации."
"Change how much line follows when drawing line by releasing pen pressure.
By setting bigger value, line follows pen gradually making line thinner like brush with long tip after releasing pen from tablet.","Измените длину линии при рисовании линии, ослабив давление пера.
Если установить большее значение, линия будет следовать за пером, постепенно делая линию тоньше, как кисть с длинным кончиком, после того, как перо отойдет от планшета."
Select texture set to brush.,"Выберите текстуру, заданную для кисти."
"When this option is turned on, the texture is applied to the brush tip. This means that the texture gets denser as the brush strokes overlap. When this option is turned off, the texture is applied to each stroke as a whole.","Когда этот параметр включён, текстура применяется к кончику кисти. Это означает, что текстура становится плотнее при перекрытии мазков кисти. Когда этот параметр выключен, текстура применяется к каждому мазку целиком."
Select a blending mode to apply the texture to the brush.,Выберите режим наложения для применения текстуры к кисти.
You can specify strength for applying texture.,Можно указать силу применения текстуры.
"Emphasize the contrast of the texture. 
You can also make each brush tip darker by setting [Hardness] higher.
This is a similar drawing method to IllustStudio.","Подчеркните контраст текстуры. 
Вы также можете сделать каждый кончик кисти темнее, установив более высокое значение параметра «Жесткость».
Это метод рисования, аналогичный IllustStudio."
Specify scale ratio and angle of texture image to apply.,Укажите масштаб и угол применяемого изображения текстуры.
You can adjust the contrast and brightness of the texture before applying it. This can increase the range of the darkest and lightest areas of the texture.,Можно настроить контраст и яркость текстуры перед её применением. Это позволяет расширить диапазон самых тёмных и самых светлых областей текстуры.
"Set the size of the brush.
You can also link the brush size to pen dynamics such as pen pressure by selecting the Dynamics button to the right.",
The tool will be scaled with the canvas so that it appears the same size as at 100%.,"Инструмент будет масштабироваться вместе с холстом, чтобы выглядеть того же размера, что и при 100 %."
"This option keeps the line width to at least one pixel, so that the line doesn’t break even when pen pressure or another dynamic is linked to brush size.","Этот параметр сохраняет ширину линии не менее одного пикселя, чтобы линия не прерывалась, даже когда нажим пера или другая динамика связаны с размером кисти."
"Set the opacity of each brush tip pattern. You can also adjust the dynamics by clicking the button on the right. For example, you can link the density to pen pressure to easily adjust the density as you draw.","Задайте непрозрачность каждого узора кончика кисти. Также можно настроить динамику, щёлкнув кнопку справа. Например, можно связать плотность с нажимом пера, чтобы легко настраивать плотность во время рисования."
"When this option is turned on, the brush density decreases when the brush tip spacing (gap) becomes narrower. It automatically adjusts the brush to make opacity of the strokes almost consistent.","Когда этот параметр включён, плотность кисти уменьшается при сужении интервала (зазора) между кончиками кисти. Кисть автоматически настраивается так, чтобы непрозрачность мазков была почти постоянной."
"Change the hardness. When the value is low, the line appears more blurred.",Измените жёсткость. При низком значении линия выглядит более размытой.
"Set gap between drawing one shape of brush tip and another.
The smaller the gap is, the smoother the drawing quality becomes, but it takes more time.","Установите промежуток между рисованием одной формы кончика кисти и другой.
Чем меньше зазор, тем более плавным становится качество рисунка, но на это уходит больше времени."
"When this option is turned on, the color will build up when you hold the pen in one place.","Когда этот параметр включён, цвет накапливается при удержании пера в одном месте."
"Set the thickness of the brush tip.
You can also link the thickness to pen dynamics such as pen pressure by selecting the Dynamics button to the right.",
Set the angle of the brush tip.,Задайте угол кончика кисти.
You can set angle of each brush tip.,Можно задать угол каждого кончика кисти.
"Set shape of brush tip.
You can use brush material registered to material palette by selecting [Material].","Установите форму кончика кисти.
Вы можете использовать материал кисти, зарегистрированный в палитре материалов, выбрав [Материал]."
Set order of tip shape to use when creating brush shape by combining several materials. You can do this in case several materials are set to [Tip shape].,"Задайте порядок форм кончика, используемых при создании формы кисти путём сочетания нескольких материалов. Это можно сделать, когда несколько материалов заданы для [Формы кончика]."
Flips the brush tip images. The option [Flip on reversed strokes] works when the repeat method in the [Stroke] tab is set to [Reverse]. ,"Отражает изображения кончика кисти. Параметр [Отражать при обратных мазках] работает, когда метод повтора на вкладке [Мазок] задан как [Обратный]. "
"When this is turned on, you can mix the new color with already painted colors.
The [Running color] option picks up and drags existing colors, while the [Blend] and [Smear] options mix the new color with previously painted colors.
When using a dual brush with Color Mixing turned on, the setting will automatically be set to [Smear].","Когда эта функция включена, вы можете смешивать новый цвет с уже окрашенными цветами.
Параметр [Текущий цвет] подхватывает и перетаскивает существующие цвета, а параметры [Смешивание] и [Размазывание] смешивают новый цвет с ранее нарисованными цветами.
При использовании двойной кисти с включенным режимом «Смешивание цветов» для параметра автоматически устанавливается значение [Размазывание]."
"This is the strength ratio of new colors (RGB values) painted on top of previous colors. 
 The bigger the value is, the stronger the new color will appear.","Это соотношение сил новых цветов (значений RGB), нарисованных поверх предыдущих цветов. 
 Чем больше значение, тем сильнее будет выглядеть новый цвет."
"This is the mode for mixing the drawing color with itself or the colors already applied to the layer. The [Perceptual] mode allows you to mix colors more naturally, while the [Standard] mode is the color mixing method from previous versions, which processes more quickly.
","Это режим смешивания цвета рисунка сам с собой или с цветами, уже нанесенными на слой. Режим [Перцепционный] позволяет более естественно смешивать цвета, а режим [Стандартный] — это метод смешивания цветов из предыдущих версий, который обрабатывается быстрее."
"Depending on the setting, the color may be brightened if the mixing result is dark.","В зависимости от настройки цвет может быть осветлён, если результат смешивания тёмный."
"This is the opacity ratio of new colors painted on top of previous colors.
The bigger the value is, the more opaque the paint is.","Это коэффициент непрозрачности новых цветов, нарисованных поверх предыдущих цветов.
Чем больше значение, тем непрозрачнее краска."
"Adjust how far to stretch the color from the starting point. 
When the value is low, colors do not blend as much with surrounding colors.","Отрегулируйте степень растягивания цвета от начальной точки. 
Если значение низкое, цвета не так сильно смешиваются с окружающими цветами."
"This sets how previous colors blend with new colors when Color mixing is set to Running color. When set to High Quality, the colors will blend smoothly. When set to Normal, colors will blend at the same quality as in previous versions, and the processing speed will be faster.","Задаёт, как предыдущие цвета смешиваются с новыми цветами, когда смешивание цветов задано как «Бегущий цвет». При установке «Высокое качество» цвета смешиваются плавно. При установке «Обычное» цвета смешиваются с тем же качеством, что и в предыдущих версиях, а скорость обработки будет выше."
"When [Color mixing] is set to [Running color], this option sets how far the new colors bleed into previous colors.
When set to [Automatic], the range will adjust with the brush size.","Если для параметра [Смешение цветов] установлено значение [Текущий цвет], этот параметр определяет, насколько сильно новые цвета будут проникать в предыдущие цвета.
Если установлено значение [Автоматически], диапазон будет регулироваться в зависимости от размера кисти."
Add a Color Dynamics setting to vary the color as you draw.,"Добавьте настройку динамики цвета, чтобы изменять цвет во время рисования."
Randomizes the color of each stroke as you draw.,Делает цвет каждого мазка случайным во время рисования.
"For brushes that use a main color and a sub color, or when [Blend with sub color] is turned on, you can select whether changes to the hue, saturation, and luminosity apply to the main color, sub color, or both.","Для кистей, использующих основной и дополнительный цвета, или когда включён параметр [Смешивать с дополнительным цветом], можно выбрать, применяются ли изменения тона, насыщенности и яркости к основному цвету, дополнительному цвету или к обоим."
"Use a midpoint color between the main and sub drawing colors. The larger the value is, the stronger the ratio of the sub color.","Использует промежуточный цвет между основным и дополнительным цветами рисования. Чем больше значение, тем сильнее доля дополнительного цвета."
"When this option is turned on, the brush tip shape will change to match the pen stroke. This forms a natural continuous pattern.","Когда этот параметр включён, форма кончика кисти изменяется в соответствии с мазком пера. Это создаёт естественный непрерывный узор."
"Defines how brush tips are layered within one stroke. 
When turned on, the darkest color will be used, similar to the ""Darken"" blending mode. When turned off, the color will be all of the brush tips layered over each other.","Определяет, как кончики кисти накладываются слоями в пределах одного мазка. 
При включении будет использоваться самый темный цвет, аналогично режиму наложения «Темнее». Если этот параметр отключен, цвет будет накладываться друг на друга кончиками кистей."
