key,source,target
4/1/44#0,Add new auto action to current auto action,Добавить новую автооперацию в текущую
4/1/39#0,Switch action set to use,Переключить используемый набор операций
4/1/42#0,Start to record auto action,Начать запись автооперации
4/1/54#0,Stop to record auto action,Остановить запись автооперации
4/1/43#0,Start to play auto action,Начать воспроизведение автооперации
4/1/55#0,Stop to play auto action,Остановить воспроизведение автооперации
4/1/40#0,Create new auto action set,Создать новый набор автоопераций
4/1/41#0,Add auto action set,Добавить набор автоопераций
4/1/56#0,Are you sure you want to delete %s?,Вы действительно хотите удалить %s?
4/1/57#0,Are you sure you want to delete these %d items?,Вы действительно хотите удалить выбранные элементы (%d)?
4/1/58#0,Loop play auto action without continue confirmation. Press Esc key to stop.,Циклически воспроизводить автооперацию без подтверждения продолжения. Нажмите Esc для остановки.
4/1/59#0,Register to auto action palette.,Зарегистрировать в палитре автоопераций.
4/1/60#0,You cannot import Auto Action files in Clip Studio Paint Debut.,Импорт файлов автоопераций недоступен в Clip Studio Paint Debut.
4/1/61#0,"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue exporting the Auto Action set?","Это автоматическое действие включает настройки «Тип кисти» для выделения линий.
При использовании на другом устройстве или версии настройка «Тип кисти» может быть не применена.
Хотите продолжить экспорт набора автоматических действий?"
4/1/62#0,"This Auto Action includes “Brush type” settings for the line extraction.
If used on a different device or version, the “Brush type” setting may not be applied.
Do you want to continue registering this Auto Action set as a material?","Это автоматическое действие включает настройки «Тип кисти» для выделения линий.
При использовании на другом устройстве или версии настройка «Тип кисти» может быть не применена.
Хотите продолжить регистрацию этого набора автоматических действий в качестве материала?"
4/1/63#0,All supported formats|*.laf|auto action set file|*.laf,Все поддерживаемые форматы|*.laf|Файл набора автоопераций|*.laf
4/1/64#0,Auto action set file|*.laf,Файл набора автоопераций|*.laf
4/1/66#0,Search for auto actions on ASSETS,Искать автооперации в ASSETS
4/1/67#0,Add palette,Добавить палитру
4/1/68#0,Materials not added to palette,"Материалы, не добавленные в палитру"
5/1/2#0,Set name,Имя набора
5/1/6#0,Play,Воспроизвести
5/1/7#0,Waiting time,Время ожидания
5/1/8#0,Confirm continuation of loop play,Подтвердить продолжение циклического воспроизведения
5/1/5#0,Cancel,Отмена
7/1/13#0,Edit set,Редактировать набор
7/1/4#0,Cancel,Отмена
7/1/6#0,Create new set,Создать новый набор
7/1/8#0,Duplicate set,Дублировать набор
7/1/10#0,Delete set,Удалить набор
7/1/12#0,Rename set,Переименовать набор
8/1/9#0,Add from default,Добавить из стандартных
8/1/3#0,Close,Закрыть
8/1/5#0,Add,Добавить
8/1/10#0, (Ver %s), (Вер. %s)
9/1/6#0,Add group from default,
9/1/4#0,Cancel,Отмена
10/1/9#0,Air Action Settings,Настройки Air Action
10/1/3#0,Cancel,Отмена
10/1/5#0,Reset,Сбросить
10/1/10#0,Do you want to revert Air Action settings to their original defaults?,Вернуть настройки Air Action к исходным значениям по умолчанию?
10/1/7#0,"You can customize your Air Action settings.
Please check below for details.","Вы можете настроить параметры Air Action.
Подробности см. ниже."
10/1/11#0,How to check Air Actions,Как проверить Air Action
11/1/9#0,Edit preset,Редактировать набор настроек
11/1/4#0,Cancel,Отмена
11/1/10#0,Confirm,Подтвердить
11/1/11#0,Discard,Отклонить
11/1/12#0,Back,Назад
11/1/6#0,Delete,Удалить
11/1/8#0,Rename preset,Переименовать набор настроек
11/1/13#0,Custom,Пользовательский
11/1/14#0,Confirm edit?,Подтвердить изменение?
11/1/15#0,"Preset with the same name already exist.
Overwrite?","Пресет с таким названием уже существует.
Перезаписать?"
11/1/16#0,"“%s“ cannot be registered.
Please enter a different preset name.","«%s» невозможно зарегистрировать.
Введите другое имя предустановки."
11/1/17#0,Save,Сохранить
11/1/18#0,Change name,Изменить имя
12/1/39#0,Onion skin settings,Настройки кальки
12/1/3#0,Cancel,Отмена
12/1/4#0,Number of skins,Число кадров кальки
12/1/6#0,Previous frame,Предыдущий кадр
12/1/12#0,Next frame,Следующий кадр
12/1/10#0,cels,ячейки
12/1/17#0,View Settings,Настройки отображения
12/1/18#0,Color mode,Цветовой режим
12/1/40#0,Color,Цвет
12/1/41#0,Half color,Половинный цвет
12/1/42#0,Monochrome,Монохромный
12/1/21#0,Previous frame,Предыдущий кадр
12/1/24#0,Next frame,Следующий кадр
12/1/27#0,Specify opacity level,Задать уровень непрозрачности
12/1/29#0,Start,Начать
12/1/35#0,Step opacity,Шаг непрозрачности
