source,japanese,target
Guide,ガイド,Направляющая
Hand,手のひら,Рука
Hard,硬め,Жёсткий
Hatching and sand pattern,カケアミ・砂目,Штриховка и зернистость
Kneaded eraser,練り消しゴム,Ластик-клячка
Lace,レース,Кружево
Lasso,投げなわ選択,Лассо
Lasso fill,投げなわ塗り,Заливка лассо
Leaves,葉,Листья
Leftover pen,すきま塗りペン,Перо для зазоров
Light crosshatch,カケアミ薄,Лёгкая штриховка
Light table,ライトテーブル,Лайтбокс
Line_Smooth,,
Linear ruler,直線定規,Прямая линейка
Liquify,ゆがみ,Пластика
Magnetic lasso,線画に沿って選択,Магнитное лассо
Manga gradient,マンガ用グラデーション,Градиент для манги
Mapping pen,丸ペン,Круглое перо
Mechanical pencil,シャーペン,Механический карандаш
Melody,メロディ,Мелодия
Midday sky,昼空,Дневное небо
Milli pen,ミリペン,Линер
Move,移動,Перемещение
Move grid,グリッド移動,Переместить сетку
Move layer,レイヤー移動,Перемещение слоя
Move tone pattern,トーン柄移動,Переместить узор тона
Multiple layers,レイヤー貫通,Сквозь все слои
Night sky,夜空,Ночное небо
Noise,ノイズ,Шум
Normal paint,通常塗り,Обычная закраска
Object,オブジェクト,Объект
Oil paint,油彩,Масляная краска
Operation,操作,Управление
Paint and apply,塗り＆なじませ,Закрасить и растушевать
Painterly blender,筆なじませ,Художественная растушёвка
Pastel,パステル,Пастель
Pen,ペン,Перо
Pencil,鉛筆,Карандаш
Pencil (Ver. 3.1),鉛筆 [Ver. 3.1],Карандаш (вер. 3.1)
Perspective ruler,パース定規,Линейка перспективы
Petal,花びら,Лепесток
Photosphere,光球,Световая сфера
Pick color from layer,レイヤーから色を取得,Взять цвет со слоя
Pick displayed color,表示色を取得,Взять отображаемый цвет
Pinch vector line,ベクター線つまみ,Сжать векторную линию
Pixel_Line,,
Pointillism,点描,Пуантилизм
Polygon,多角形,Многоугольник
Polyline,折れ線選択,Ломаная
Polyline frame,折れ線コマ,Ломаный кадр
Rain,雨,Дождь
Rainbow,虹,Радуга
Real G-Pen,リアルGペン,Реалистичное перо G
Rectangle,長方形選択,Прямоугольник
Rectangle balloon,長方形フキダシ,Прямоугольная выноска
Rectangle frame,長方形コマ,Прямоугольный кадр
Redraw vector line,ベクター線描き直し,Перерисовать векторную линию
Redraw vector line width,ベクター線幅描き直し,Перерисовать толщину линии
Refer all layers,全レイヤーを参照,С учётом всех слоёв
Refer only to editing layer,編集レイヤーのみ参照,Только редактируемый слой
Refer other layers,他レイヤーを参照,С учётом других слоёв
Refer to all layers,他レイヤーを参照選択,С учётом других слоёв
Refer to editing layer only,編集レイヤーのみ参照選択,Только редактируемый слой
Remove dust,ごみ取り,Удаление мусора
Rose,薔薇,Роза
Rotate,回転,Поворот
Rough,ざっくり,Грубый
Rough crosshatch,2カケやわらか,Грубая штриховка
Rough edged,ギザギザ,Зубчатая линия
Rough pen,粗いペン,Грубое перо
Rough rectangle,粗い長方形コマ,Грубый прямоугольный кадр
Rough rounded balloon,粗い角丸フキダシ,Грубая скруглённая выноска
Rough wash,粗い水彩,Грубая размывка
Round mixing brush,混色円ブラシ,Круглая смешивающая кисть
Round watercolor brush,水彩丸筆,Круглая акварельная кисть
Rounded balloon,角丸フキダシ,Скруглённая выноска
Rubble,瓦礫,Обломки
Ruled line,罫線,Разлиновка
Ruler,定規,Линейка
Ruler pen,定規ペン,Перо-линейка
Running color spray,にじみスプレー,Растекающийся спрей
Sand (for tone scraping),砂目(トーン削り用),Песок (для скретчинга тона)
Scattered focus lines,まばら集中線,Редкие линии концентрации
Scattered speed lines,まばら流線,Редкие линии скорости
Sea urchin flash,ウニフラ,Вспышка-ёж
Select dust,ごみ選択,Выделить мусор
Select layer,レイヤー選択,Выбор слоя
Selection area,選択範囲,Выделение
Selection for referred layers,参照レイヤー用選択,Для эталонных слоёв
Selection pen,選択ペン,Перо выделения
Shrink selection,シュリンク選択,Сжать выделение
Simple frill,シンプルフリル,Простые оборки
Simplify vector line,ベクター線単純化,Упростить векторную линию
Sketch,スケッチ,Эскиз
Snap eraser,スナップ消しゴム,Ластик с привязкой
Soft,軟らかめ,Мягкий
Soft bleed,にじみ水彩,Мягкое растекание
Sparkle,きらめき,Блеск
Special ruler,特殊定規,Специальная линейка
Speed lines,流線,Линии скорости
Spray,スプレー,Спрей
Star,星,Звезда
Straight line,直線,Прямая линия
Stripe,ストライプ,Полоса
Sunset,夕焼け,Закат
Symmetrical ruler,対称定規,Симметричная линейка
System,システム,Система
Text,テキスト,Текст
Texture_Line,,
Textured blender,質感残しなじませ,Текстурная растушёвка
Textured pen,ざらつきペン,Шероховатое перо
The deepest shadow,最も濃い陰,Самая тёмная тень
The lightest shadow,最も薄い陰,Самая светлая тень
Thick oil paint,厚塗り油彩,Густая масляная краска
Thick paint,厚塗り,Густая краска
Thin Gouache brush,ガッシュ細筆,Тонкая кисть для гуаши
Thin chain,チェーン,Тонкая цепь
Thought balloon tail,フキダシ丸しっぽ,Хвостик выноски мыслей
Trees,樹木,Деревья
Turnip pen,カブラペン,Перо кабура
Vector,ベクター用,Векторный
Watercolor,水彩,Акварель
Watercolor splash,スプラッシュ水彩,Брызги акварели
Watery brush,水筆,Водяная кисть
Watery ink,濃淡,Жидкая тушь
Waved line,波線,Волнистая линия
Wavy line,波線,Волнистая линия
Wet bleed blender,繊維にじみなじませ,Растушёвка с растеканием
Wet blotting ink,にじみ墨,Растекающаяся тушь
Wet wash,ウェット水彩,Влажная заливка
Zipper,ジッパー,Молния
Zoom In,ズームイン,Приблизить
Zoom Out,ズームアウト,Отдалить
