key,source,target
ImportPDFX.dll:138:10,Right binding,Переплёт справа
ImportPDFX.dll:144:12,Start page,Начальная страница
ImportPDFX.dll:144:13,From left,Слева
ImportPDFX.dll:144:14,From right,Справа
ImportPDFX.dll:151:0,Import annotations as image,Импортировать аннотации как изображение
ImportPDFX.dll:626:0,Layer 1,Слой 1
ImportPDFX.dll:1657:9,clipstudio.module.plugin.paint.pdf.import,clipstudio.module.plugin.paint.pdf.import
ImportPSB.dll:7:5,Photoshop Big Document,Документ Photoshop Big
ImportPSB.dll:7:6,psb|psb,psb|psb
ImportPSB.dll:7:7,Background,Фон
ImportPSD.dll:7:5,Photoshop Document,Документ Photoshop
ImportPSD.dll:7:6,psd|psd,psd|psd
ImportPSD.dll:7:7,Background,Фон
LensDistortion.dll:7:5,Distort,Искажение
LensDistortion.dll:7:6,Fish-eye lens,Объектив «рыбий глаз»
LensDistortion.dll:7:14,Distortion,Искажение
LensDistortion.dll:7:15,Radius,Радиус
LensDistortion.dll:8:0,Shape,Фигура
LensDistortion.dll:8:1,Center,Центр
LensDistortion.dll:8:2,Area,Область
LensDistortion.dll:8:8,Entire selection,Всё выделение
LensDistortion.dll:8:9,Specify area (use Radius and Shape),Указать область (через радиус и форму)
LineWidth.dll:7:5,Correction,Коррекция
LineWidth.dll:7:6,Adjust line width,Настроить ширину линии
LineWidth.dll:7:7,Process,Способ обработки
LineWidth.dll:7:8,Scale,Масштаб
LineWidth.dll:7:9,At least 1 pixel,Не менее 1 пикселя
LineWidth.dll:7:14,Thicken,Утолщить
LineWidth.dll:7:15,Narrow,Сузить
Mosaic.dll:7:5,Effect,Эффект
Mosaic.dll:7:6,Mosaic,Мозаика
Mosaic.dll:7:7,Tile size,Размер плитки
MotionBlur.dll:7:5,Blur,Размытие
MotionBlur.dll:7:6,Motion blur,Размытие в движении
MotionBlur.dll:7:7,Strength,Сила
MotionBlur.dll:7:8,Angle,Угол
MotionBlur.dll:7:9,Direction,Направление
MotionBlur.dll:7:10,Mode,Режим
MotionBlur.dll:7:14,Both directions,Оба направления
MotionBlur.dll:7:15,Forward,Вперёд
MotionBlur.dll:8:0,Backward,Назад
MotionBlur.dll:8:8,Box,Прямоугольник
MotionBlur.dll:8:9,Smooth,Сглаживание
PencilArtFilter.dll:7:5,Effect,Эффект
PencilArtFilter.dll:7:6,Pencil drawing,Рисунок карандашом
PencilArtFilter.dll:13:9,Show outline,Показать контур
PencilArtFilter.dll:19:13,Show hatching ,Показать штриховку
PencilArtFilter.dll:19:14,Hatching size,Размер штриховки
PencilArtFilter.dll:19:15,Hatching roughness,Грубость штриховки
PencilArtFilter.dll:20:0,Hatching angle,Угол штриховки
PencilArtFilter.dll:20:1,Grayscale output,Вывод в градациях серого
PerlinNoise.dll:7:5,Render,Рендеринг
PerlinNoise.dll:7:6,Perlin noise,Шум Перлина
PerlinNoise.dll:7:7,Scale,Масштаб
PerlinNoise.dll:7:8,Amplitude,Амплитуда
PerlinNoise.dll:7:9,Attenuation,Затухание
PerlinNoise.dll:7:10,Repetition,Повторение
PerlinNoise.dll:7:11,Offset X,Смещение X
PerlinNoise.dll:7:12,Offset Y,Смещение Y
Pinch.dll:7:5,Distort,Искажение
Pinch.dll:7:6,Pinch,Сжатие
Pinch.dll:7:14,Strength,Сила
Pinch.dll:7:15,Radius,Радиус
Pinch.dll:8:0,Shape,Фигура
Pinch.dll:8:1,Center,Центр
Pinch.dll:8:2,Area,Область
Pinch.dll:8:8,Entire selection,Всё выделение
Pinch.dll:8:9,Specify area (use Radius and Shape),Указать область (через радиус и форму)
PolarCd.dll:7:5,Distort,Искажение
PolarCd.dll:7:6,Polar coordinates,Полярные координаты
PolarCd.dll:7:7,Transformation method,Метод преобразования
PolarCd.dll:7:14,Rectangular to polar,Из прямоугольных в полярные
PolarCd.dll:7:15,Polar to rectangular,Из полярных в прямоугольные
PolarCd.dll:8:0,Spherize,Сферизация
RadialBlur.dll:7:5,Blur,Размытие
RadialBlur.dll:7:6,Radial blur,Радиальное размытие
RadialBlur.dll:7:7,Strength,Сила
RadialBlur.dll:7:8,Direction,Направление
RadialBlur.dll:7:9,Mode,Режим
RadialBlur.dll:7:10,Center,Центр
RadialBlur.dll:7:14,Both directions,Оба направления
RadialBlur.dll:7:15,Outward,Наружу
RadialBlur.dll:8:0,Inward,К центру
RadialBlur.dll:8:8,Box,Прямоугольник
RadialBlur.dll:8:9,Smooth,Сглаживание
Sharp.dll:7:5,Sharpen,Резкость
Sharp.dll:7:6,Sharpen,Резкость
SharpOff.dll:7:5,Blur,Размытие
SharpOff.dll:7:6,Blur,Размытие
SharpOffStrong.dll:7:5,Blur,Размытие
SharpOffStrong.dll:7:6,Blur (strong),Размытие (сильное)
SharpStrong.dll:7:5,Sharpen,Резкость
SharpStrong.dll:7:6,Sharpen more,Резкость (сильнее)
SimpleWave.dll:7:5,Distort,Искажение
SimpleWave.dll:7:6,ZigZag,Зигзаг
SimpleWave.dll:7:14,Angle,Угол
SimpleWave.dll:7:15,Wave height,Высота волны
SimpleWave.dll:8:0,Number of waves,Количество волн
Smoothing.dll:7:5,Blur,Размытие
Smoothing.dll:7:6,Smoothing,Сглаживание
Sphere.dll:7:5,Distort,Искажение
Sphere.dll:7:6,Curved surface,Изогнутая поверхность
Sphere.dll:7:14,Strength,Сила
Sphere.dll:7:15,Method,Метод
Sphere.dll:8:0,Angle,Угол
Sphere.dll:8:1,Center,Центр
Sphere.dll:8:2,Area,Область
Sphere.dll:8:3,Radius,Радиус
Sphere.dll:8:4,Shape,Фигура
Sphere.dll:8:8,Sphere,Сфера
Sphere.dll:8:9,Cylinder,Цилиндр
Sphere.dll:8:10,Entire selection,Всё выделение
Sphere.dll:8:11,Specify area (use Radius and Shape),Указать область (через радиус и форму)
Spiral.dll:7:5,Distort,Искажение
Spiral.dll:7:6,Twirl,Скручивание
Spiral.dll:7:14,Twist,Закручивание
Spiral.dll:7:15,Tension,Натяжение
Spiral.dll:8:0,Radius,Радиус
Spiral.dll:8:1,Shape,Фигура
Spiral.dll:8:2,Center,Центр
Spiral.dll:8:3,Area,Область
Spiral.dll:8:8,Entire selection,Всё выделение
Spiral.dll:8:9,Specify area (use Radius and Shape),Указать область (через радиус и форму)
TPPAddNoise.dll:7:4,Effect,Эффект
TPPAddNoise.dll:7:5,Noise,Шум
TPPAddNoise.dll:13:8,Color Mode,Цветовой режим
TPPAddNoise.dll:13:9,Color,Цвет
TPPAddNoise.dll:13:10,Gray,Серый
TPPAddNoise.dll:19:12,Noise strength,Сила шума
TPPChromaticAberration.dll:7:4,Effect,Эффект
TPPChromaticAberration.dll:7:5,Chromatic aberration,Хроматическая аберрация
TPPChromaticAberration.dll:13:8,Mode,Режим
TPPChromaticAberration.dll:13:9,Radial (use center point),Радиальная (по центральной точке)
TPPChromaticAberration.dll:13:10,Lateral (use Angle),Боковая (по углу)
TPPChromaticAberration.dll:19:12,Intensity,Интенсивность
TPPChromaticAberration.dll:26:0,Angle,Угол
TPPChromaticAberration.dll:32:4,Center of chromatic aberration,Центр хроматической аберрации
TPPFilmCameraStyle.dll:7:4,Effect,Эффект
TPPFilmCameraStyle.dll:7:5,Retro film,Ретро-плёнка
TPPFilmCameraStyle.dll:19:12,Intensity,Интенсивность
TPPFilmCameraStyle.dll:32:4,Center of chromatic aberration,Центр хроматической аберрации
TPPFilmCameraStyle.dll:38:8,Noise strength,Сила шума
TPPFilmCameraStyle.dll:44:12,Effect,Эффект
TPPFilmCameraStyle.dll:44:13,None,Нет
TPPFilmCameraStyle.dll:44:14,Sepia,Сепия
TPPFilmCameraStyle.dll:44:15,Light leak (slant),Засветка (под углом)
TPPFilmCameraStyle.dll:45:0,Light leak (all),Засветка (вся)
TPPFilmCameraStyle.dll:45:1,Sepia + Light leak (slant),Сепия + засветка (под углом)
TPPFilmCameraStyle.dll:45:2,Sepia + Light leak (all),Сепия + засветка (вся)
TPPFilmCameraStyle.dll:51:0,Preset,Набор настроек
TPPFilmCameraStyle.dll:51:1,Vintage,Винтаж
TPPFilmCameraStyle.dll:51:2,Modern,Современный
TPPFilmCameraStyle.dll:51:3,Warm,Тёплый
TPPFilmCameraStyle.dll:51:4,None,Нет
TPPNormalMap.dll:7:4,Effect,Эффект
TPPNormalMap.dll:7:5,Normal map,Карта нормалей
TPPNormalMap.dll:13:8,Strength,Сила
TPPNormalMap.dll:19:12,Y orientation,Ориентация Y
TPPNormalMap.dll:19:13,Y up (CLIP STUDIO 3D standard format),Y вверх (стандартный формат CLIP STUDIO 3D)
TPPNormalMap.dll:19:14,Y down,Y вниз
TPPRotationBlur.dll:7:4,Blur,Размытие
TPPRotationBlur.dll:7:5,Spin blur,Вращательное размытие
TPPRotationBlur.dll:13:8,Strength,Сила
TPPRotationBlur.dll:19:12,Direction,Направление
TPPRotationBlur.dll:19:13,Rotate right,Повернуть вправо
TPPRotationBlur.dll:19:14,Rotate left,Повернуть влево
TPPRotationBlur.dll:19:15,Both directions,Оба направления
TPPRotationBlur.dll:26:0,Shape,Фигура
TPPRotationBlur.dll:32:4,Tilt,Наклон
TPPRotationBlur.dll:38:8,Center point,Центральная точка
TPReduceNoiseFilter.dll:7:5,Effect,Эффект
TPReduceNoiseFilter.dll:7:6,Remove jpeg noise,Удалить шум JPEG
UnSharpMask.dll:7:5,Sharpen,Резкость
UnSharpMask.dll:7:6,Unsharp mask,Контурная резкость
UnSharpMask.dll:7:7,Radius,Радиус
UnSharpMask.dll:7:8,Strength,Сила
UnSharpMask.dll:7:9,Threshold,Порог
Waveform.dll:7:5,Distort,Искажение
Waveform.dll:7:6,Wave,Волна
Waveform.dll:7:14,Shape,Фигура
Waveform.dll:7:15,Number of waves,Количество волн
Waveform.dll:8:0,Wavelength (Minimum),Длина волны (минимум)
Waveform.dll:8:1,Wavelength (Maximum),Длина волны (максимум)
Waveform.dll:8:2,Amplitude (Minimum),Амплитуда (минимум)
Waveform.dll:8:3,Amplitude (Maximum),Амплитуда (максимум)
Waveform.dll:8:4,Horizontal ratio,Горизонтальное соотношение
Waveform.dll:8:5,Vertical ratio,Вертикальное соотношение
Waveform.dll:8:6,Undefined areas,Неопределённые области
Waveform.dll:8:7,Regenerate,Создать заново
Waveform.dll:8:8,Sine,Синусоида
Waveform.dll:8:9,Triangle,Треугольник
Waveform.dll:8:10,Rectangular,Прямоугольная
Waveform.dll:8:11,Wrap around,Заворачивать
Waveform.dll:8:12,Repeat edge pixels,Повторять краевые пиксели
Zigzag.dll:7:5,Distort,Искажение
Zigzag.dll:7:6,Ripple,Рябь
Zigzag.dll:7:14,Rotation,Поворот
Zigzag.dll:7:15,Number of waves,Количество волн
Zigzag.dll:8:0,Center,Центр
Zigzag.dll:8:1,Area,Область
Zigzag.dll:8:2,Radius,Радиус
Zigzag.dll:8:3,Shape,Фигура
Zigzag.dll:8:8,Entire selection,Всё выделение
Zigzag.dll:8:9,Specify area (use Radius and Shape),Указать область (через радиус и форму)
