source,target
Failed to log in.,Не удалось войти.
Login failed,Не удалось войти
Please check your email address and password and try again.,Проверьте адрес электронной почты и пароль и повторите попытку.
Failed to login. Please check your email address and password is correct and try again.,Не удалось войти. Проверьте правильность адреса электронной почты и пароля и повторите попытку.
https://accounts.clip-studio.com/password-reset?ui_locales=en-us,https://accounts.clip-studio.com/password-reset?ui_locales=en-us
https://accounts.clip-studio.com/register?ui_locales=en-us,https://accounts.clip-studio.com/register?ui_locales=en-us
https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-contact-en
https://accounts.clip-studio.com/app/register?ui_locales=en-us,https://accounts.clip-studio.com/app/register?ui_locales=en-us
Deactivate and launch on this device,Деактивировать и запустить на этом устройстве
Login cancelled.,Вход отменён.
License verification was cancelled.,Проверка лицензии отменена.
"Your license has been verified and registered successfully.
Thank you for choosing our software.","Ваша лицензия успешно проверена и зарегистрирована.
Спасибо, что выбрали нашу программу."
Failed to deactivate the license.,Не удалось деактивировать лицензию.
"This license has reached the maximum number of deactivations,
so it cannot be activated on this device.","Эта лицензия достигла максимального числа деактиваций,
поэтому её нельзя активировать на этом устройстве."
"License verification was cancelled. 

You need to verify the license in order to use this license.","Проверка лицензии отменена. 

Для использования этой лицензии необходимо её проверить."
"License verification was cancelled. 

You need to verify a license in order to use all features of the software. 
The license verification dialog will appear again the next time the software is launched.","Проверка лицензии отменена. 

Для использования всех функций программы необходимо проверить лицензию. 
Диалог проверки лицензии появится снова при следующем запуске программы."
"The valid term for this license has expired. 
Thank you for using our software.","Срок действия этой лицензии истёк. 
Спасибо, что пользуетесь нашей программой."
"The entered confirmation key is incorrect.

Please check the confirmation key displayed in the browser and try again.","Введённый ключ подтверждения неверен.

Проверьте ключ подтверждения, показанный в браузере, и повторите попытку."
"The license verification failed. 

Your device may not be connected to the Internet 
or there may be a problem with the license system. 
License verification may fail if your network connection is weak. 

If you cannot connect this device to the Internet, 
you can register your license from another device with Internet connection. 
Would you like to try this instead?","Не удалось проверить лицензию. 

Возможно, ваше устройство не подключено к Интернету 
или возникла проблема с системой лицензирования. 
Проверка лицензии может не удаться при слабом сетевом подключении. 

Если вы не можете подключить это устройство к Интернету, 
вы можете зарегистрировать лицензию с другого устройства с подключением к Интернету. 
Хотите попробовать этот способ вместо этого?"
License verification failed.,Не удалось проверить лицензию.
"This license is already being used on another device. 
You will need to switch the active device to use it on this device.","Эта лицензия уже используется на другом устройстве. 
Чтобы использовать её на этом устройстве, потребуется переключить активное устройство."
"Your license was deactivated successfully.
You can now try all features of the software.","Лицензия успешно деактивирована.
Теперь вы можете попробовать все функции программы."
"Your license was deactivated successfully.
You can now use all features of the software.","Лицензия успешно деактивирована.
Теперь вы можете использовать все функции программы."
"Your trial was registered successfully.
You can now use all features of the software.","Пробная версия успешно зарегистрирована.
Теперь вы можете использовать все функции программы."
"The valid term for this license has expired. 
Thank you for using Clip Studio Paint.","Срок действия этой лицензии истёк. 
Спасибо, что пользуетесь Clip Studio Paint."
Failed to login. Please check the email address and password.,Не удалось войти. Проверьте адрес электронной почты и пароль.
Trial registration was cancelled.,Регистрация пробной версии отменена.
Failed to register the trial.,Не удалось зарегистрировать пробную версию.
"Failed to register the trial.
There may be a problem with your Internet connection 
or the license system may be busy.

Please check your connection and try again.
If you keep receiving this error, please contact us with the form below.","Не удалось зарегистрировать пробную версию.
Возможно, возникла проблема с подключением к Интернету 
или система лицензирования занята.

Проверьте подключение и повторите попытку.
Если эта ошибка повторяется, свяжитесь с нами через форму ниже."
"You may now use the software. 
Thank you for registering.","Теперь вы можете пользоваться программой. 
Спасибо за регистрацию."
"The valid period for this serial number has expired. 
Thank you for using Clip Studio Paint.","Срок действия этого серийного номера истёк. 
Спасибо, что пользуетесь Clip Studio Paint."
"Your plan has expired.
Thank you for using Clip Studio Paint.","Срок действия вашего плана истёк.
Спасибо, что пользуетесь Clip Studio Paint."
"You need an Internet connection to use the app for free.

The app will launch with limited features.","Для бесплатного использования приложения требуется подключение к Интернету.

Приложение запустится с ограниченными функциями."
"There was an error with the server.
Please wait and try again to use the software for free.

The software will launch with limited features.","Произошла ошибка сервера.
Подождите и повторите попытку, чтобы использовать программу бесплатно.

Программа запустится с ограниченными функциями."
"Your free 30 hours have ended.

The app will launch with limited features.","Ваши бесплатные 30 часов закончились.

Приложение запустится с ограниченными функциями."
Help,Справка
Verify,Проверить
Connecting...,Соединение...
"You can’t use this product with the serial number you entered.
Click here for details.","Вы не можете использовать этот продукт с введённым серийным номером.
Нажмите здесь для получения подробных сведений."
en-us,en-us
For Windows/macOS (30 digits),Для Windows/macOS (30 цифр)
How can I check my serial number?,Как проверить серийный номер?
The serial number may not have been entered correctly.,"Возможно, серийный номер введён неверно."
"This trial serial number has already been used. 
You cannot use this serial number.","Этот пробный серийный номер уже использован. 
Вы не можете использовать этот серийный номер."
You cannot change to this serial number.,Вы не можете перейти на этот серийный номер.
The license could not be verified.,Не удалось проверить лицензию.
The product and module version do not match. The software may not be installed correctly.,"Версии продукта и модуля не совпадают. Возможно, программа установлена неправильно."
"The application failed to launch because the necessary files to verify the license could not be found.
The application may not be installed correctly.","Не удалось запустить приложение, так как не удалось найти файлы, необходимые для проверки лицензии.
Возможно, приложение установлено неправильно."
"The process failed because the necessary files to verify the license could not be found.
The application may not be installed correctly.","Не удалось выполнить операцию, так как не удалось найти файлы, необходимые для проверки лицензии.
Возможно, приложение установлено неправильно."
The process could not be carried out because the application is open in a virtual OS.,"Операцию не удалось выполнить, так как приложение открыто в виртуальной ОС."
"The process failed because the necessary information could not be obtained. 
If you are not logged in with system administrator permissions, please log in as an administrator and try again.","Не удалось выполнить операцию, так как не удалось получить необходимые сведения. 
Если вы вошли в систему без прав системного администратора, войдите как администратор и повторите попытку."
"The process failed because the necessary files could not be found, or because you do not have permission to perform this action.","Не удалось выполнить операцию, так как не удалось найти необходимые файлы или у вас нет разрешения на это действие."
"You cannot register trial use with early preview version (RC version).
If you register trial use with the official version, the serial number will appear in the Version information dialog. Please enter that serial number.","Вы не можете зарегистрировать пробное использование с ранней предварительной версией (версия RC).
Если вы зарегистрируете пробное использование с официальной версией, серийный номер появится в диалоге сведений о версии. Введите этот серийный номер."
More information,Подробнее
https://us-lic.celsys.co.jp/gd/index.php?id=csp-lost-en,https://us-lic.celsys.co.jp/gd/index.php?id=csp-lost-en
https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en,https://us-lic.celsys.co.jp/gd/index.php?id=serial-err-en
"See here for details on your current plan 
","Подробные сведения о вашем текущем плане см. здесь 
"
Activation code,Код активации
Serial number,Серийный номер
"For smartphones, tablets, and PCs (12 or 13 digits)","Для смартфонов, планшетов и ПК (12 или 13 цифр)"
Enter,Ввести
I don’t have a license,У меня нет лицензии
Enter serial number,Введите серийный номер
Confirm,Подтвердить
The software may not be installed correctly.,"Возможно, программа установлена неправильно."
"$$$ You cannot register trial use with early preview version (RC version).
If you register trial use with official version, serial number will appear. Please enter that serial number.","$$$ Вы не можете зарегистрировать пробное использование с ранней предварительной версией (версия RC).
Если вы зарегистрируете пробное использование с официальной версией, появится серийный номер. Введите этот серийный номер."
Activate,Активировать
Update,Обновить
Active,Активный
Please use on the iPad,Используйте на iPad
Lost your serial number?,Потеряли серийный номер?
You cannot use this on the current device.,Вы не можете использовать это на текущем устройстве.
Do you want to uninstall Clip Studio Paint %d.%d.%d and install Clip Studio Paint %d.%d.%d?,Удалить Clip Studio Paint %d.%d.%d и установить Clip Studio Paint %d.%d.%d?
Do you want to install Clip Studio Paint %d.%d.%d?,Установить Clip Studio Paint %d.%d.%d?
Do you want to install the latest version of Clip Studio Paint?,Установить последнюю версию Clip Studio Paint?
"The server is busy. 
Please try again later.","Сервер занят. 
Повторите попытку позже."
"The Simplified Chinese OS cannot be used with versions of Clip Studio Paint earlier than 4.1.0. 
Do you want to uninstall Clip Studio Paint %d.%d.%d and install Clip Studio Paint %d.%d.%d?","Упрощённую китайскую ОС нельзя использовать с версиями Clip Studio Paint ранее 4.1.0. 
Удалить Clip Studio Paint %d.%d.%d и установить Clip Studio Paint %d.%d.%d?"
Enter 2-step verification code,Введите код двухэтапной проверки
Enter the 6-digit code,Введите 6-значный код
"A verification code has been sent to your registered email address.
Please enter the 6-digit verification code included in the email to log in.
The verification code will expire in 10 minutes.","Код подтверждения отправлен на зарегистрированный адрес электронной почты.
Чтобы войти, введите 6-значный код подтверждения из письма.
Срок действия кода подтверждения истечёт через 10 минут."
Send verification code again,Отправить код подтверждения ещё раз
Mark this device as trusted and skip 2-step verification for 90 days,Отметить это устройство как доверенное и пропускать двухэтапную проверку в течение 90 дней
Verification failed. Please enter the verification code again or try reissuing it.,Не удалось выполнить проверку. Введите код подтверждения ещё раз или попробуйте получить его заново.
Verification failed. Please check the connectivity of your device.,Не удалось выполнить проверку. Проверьте подключение вашего устройства.
This app version cannot be activated with your license (Ver. %s),Эту версию приложения нельзя активировать с вашей лицензией (Ver. %s)
The usage period of your Update Pass has expired.,Срок действия вашего Update Pass истёк.
perpetual license,бессрочная лицензия
Purchase a license for this application (Ver. %s),Приобрести лицензию для этого приложения (Ver. %s)
Purchase,Купить
Get available app,Получить доступное приложение
Get the app for your license (Ver. %s),Получить приложение для вашей лицензии (Ver. %s)
Install,Установить
"You have a license, activation code, 
or Update Pass　(Ver. %s)","У вас есть лицензия, код активации 
или Update Pass　(Ver. %s)"
Select & Enter,Выбрать и ввести
Try the latest features,Попробовать новейшие возможности
Install and try the latest version,Установить и попробовать последнюю версию
This version cannot be activated with the current license.,Эту версию нельзя активировать с текущей лицензией.
Install previous version,Установить предыдущую версию
https://www2.celsys.co.jp/support/service_en/service.html,https://www2.celsys.co.jp/support/service_en/service.html
